REF;PRECIO;PVPR;DESCRIPCION
97321;5.95;11.9;FTL:SONAJERO ARAÑA
97330;7.45;14.9;FTL:RODILLO ANILLOS APILABLES
97331;14.95;29.9;FTL: RODILLO PARA  EL GATEO
97332;12.45;24.9;FTL: SET 3 ESPEJOS
97340;6.45;12.9;STACKING CUPS 0-3
97341;6.45;12.9;FTL:CUBO &FORMAS ENCAJABL TURQ
97342;6.45;12.9;FTL:CUBO &FORMAS ENCAJABL SALM
97343;9.95;19.9;FTL:LAGARTO SENSORIAL TRANSLUC
97344;14.95;29.9;FTL:ARBOL SENSORIAL ENCAJABLE
97345;14.95;29.055325;FTL: CACTUS SENSORIAL
97350;9.95;19.9;FTL:TRONCOS DE CLASIFICIACION
97911;14.45;28.9;LETRAS MAGN MAYUSC 154 PCS
97912;26.45;52.9;LETRAS MAGN. MAYUSC 308 PCS
97913;14.45;28.9;LETRAS MAGN. MINUSC 154  PCS
97915;14.95;29.9;NUMEROS MAGNETICOS 162 PCS
97928;24.95;49.9;SUPER BOARD 2 CARAS METALICAS
97932;14.95;29.9;TABLEMARK JUMBO
97936;12.45;24.9;Tablemark
97937;3.95;7.9;PIZARRA 2 CARAS
97938;12.45;24.9;SET 4 PIZARRAS 2 CARAS
99020;74.0;148.0;SET ANATOMIA 11 PCS
99025;3.45;6.9;LUPA 80 MM. 2X- 6X
99101;22.45;44.9;ELECTROKIT 88 EXPERIMENTS
99116;24.95;49.9;ELECTROKIT 198 EXPERIMENTS
97316;5.95;11.9;6 CUBOS APILABLES DE GOMA
97360;9.95;19.9;PACK REGALO OCEANO
97361;5.95;11.9;DOU DOU OCEANO
97362;4.95;9.9;SONAJERO OCEANO
97363;6.95;13.9;JUGUETE CUNA OCEANO
97370;9.95;19.9;PACK REGALO CIERVO
97371;5.95;11.9;DOU DOU CIERVO
97372;4.95;9.9;SONAJERO CIERVO
97373;6.95;13.9;JUGUETE CUNA CIERVO
97374;9.95;19.9;APILABLE Y SONAJERO CIERVO
97380;9.95;19.9;PACK REGALO KOALA
97381;5.95;11.9;DOU DOU KOALA
97382;4.95;9.9;SONAJERO KOALA
97383;6.95;13.9;JUGUETE CUNA KOALA
97384;9.95;19.9;PELUCHE KOALA
97385;3.45;6.9;SET DE TARJETAS MARINAS
97386;6.45;12.9;LIBRO MARINO SUAVE DE CUNA
97387;6.95;13.9;LIBRO MARINO SUAVE
97052;12.45;24.9;SET DE JARDINERÍA FSC 100%
97053;4.95;9.9;SET HERRAMIENTAS JARDI FSC100%
97054;5.45;10.9;REGADERA DE JARDINERÍA
97056;9.95;19.9;SET DE ARQUEOLOGIA FSC 100%
97057;9.95;19.9;SET INSECTOS FSC 100%
99034;4.45;8.9;JELLY GLOOP: DINO WORLD
99035;4.45;8.9;JELLY GLOOP: WONDERLAND
99036;7.45;14.9;JELLY GLOOP: UNIVERSE
99130;19.95;39.9;QUICK SCIENCE DISPLAY
99131;2.95;5.9;QUICK SCIENCE: SLIMY MATTERS
99132;2.95;5.9;QUICK SCIENCE: SNOW & FLOW
99135;9.95;19.9;GLOW WONDERS
99136;9.95;19.9;NATURE EXPLORERS
99137;9.95;19.9;DISCOVERY PHYSICS
94049;9.45;18.9;CONSTRUCCION FLEXIBLE: COCHE
94048;4.45;8.9;CONSTRUCCION FLEXIBLE: HELICOP
94046;4.45;8.9;CONSTRUCCION FLEXIBLE: EXCAVAD
94047;4.45;8.9;CONSTRUCCION FLEXIBLE: MOTO
94045;49.9;99.8;DISPLAY CONSTRUCCION FLEXIBLES
94123;7.45;14.9;MAGNETICS 34 PCS
89780;13.45;26.9;MUÑECO TRAPO NIÑO
89781;13.45;26.9;MUÑECO TRAPO NIÑA
89722;5.95;11.9;SOFT DUO RATTLE
89723;4.45;8.9;FOXY RATTLE
89724;4.45;8.9;ZEBRA RATTLE
89725;4.95;9.9;CHICK BELL
BANANA PANDA;0;0;
49044;12.95;25.95;Make-a-Match Puzzle Fire Truck 2+
49113;12.95;25.95;Make-a-Match Puzzle Number Train 3+
49112;11.5;23.0;Observation Puzzle Dinosaurs 4+
33666;11.5;23.0;Observation Puzzle Space 4+
49217;11.95;23.95;Puzzlove Animals of the World 4+
49257;11.95;23.95;Puzzlove Dinosaurs (200 pcs) 7+
49350;8.45;16.95;Banana Panda Puzzle + Home 2+,3+
49351;8.45;16.95;Banana Panda Puzzle + Garden 3+,4+
49352;8.45;16.95;Banana Panda Puzzle + Transport 4+
49208;7.95;15.95;Progressive Puzzles Farm Animals 18m+
49205;7.95;15.95;Progressive Puzzles Vehicles 2+
49287;7.95;15.95;I Love Dogs Puzzle  3+ 
49288;7.95;15.95;I Love Cats Puzzle 3+
49264;7.95;15.95;I Love Unicorns Puzzle 4+
49342;7.45;14.95;Banana Panda My First Puzzles Food 12m+
49343;7.45;14.95;Banana Panda My First Puzzles Happy Pairs 15m+
49345;7.45;14.95;Banana Panda My First Puzzles Baby Animals 2+
49099;4.95;9.99;On-the-Go Puzzle Discovering Shapes 18m+
49105;4.95;9.99;On-the-Go Puzzle Halves Faces 15m+
49100;4.95;9.99;On-the-Go Memory Game Vehicles 2+
76276;7.95;15.95;High Contrast Baby Cards 0m+ 3m+
76277;7.95;15.95;High Contrast Baby Cards 6m+ 9m+
77376;11.95;22.95;High Contrast Baby Pack 0+/3m+/6m+
49438;7.45;14.95;My First Puzzles Animals 
49346;12.95;25.95;First Jumbo Puzzle Mommy & Me 18m+
