REF;PRECIO;PVPR;DESCRIPCION
46063;6.45;12.9;PEGY BRICKS: WINDY MILL
46064;6.45;12.9;PEGY BRICKS: VROOM RIDE
46080;47.4;94.8;DISPLAY FLEXIHETTI
46081;3.95;7.9;FLEXIHETTI: STAR
46082;3.95;7.9;FLEXIHETTI: DINO
46083;3.95;7.9;FLEXIHETTI: FLOWER
46091;4.95;9.9;ACTIVITY FLEXHETTI
46100;74.95;149.9;DISPLAY ELECTROFUN
46101;6.45;12.9;ELECTROFUN: MUSIC KEYBOARD
46102;6.45;12.9;ELECTROFUN: RING A BELL
46103;6.45;12.9;ELECTROFUN: LET'S PARTY
46104;6.45;12.9;ELECTROFUN: TUNE IN RADIO
46105;14.95;29.9;CIRCUIT GENIUS
66110;1.1;2.2;CONTENEDOR 1,0 L.
66120;1.45;2.9;CONTENEDOR 2,0 L.
66140;4.25;8.5;CONTENEDOR 9,O L.
75001;14.95;29.9;SENSORIAL REEF
75004;12.45;24.9;MONSTER TELLING
75005;14.95;29.9;MYSTERY CASTLE
75012;19.95;39.9;AMAZING INSIDE
75013;9.95;19.9;SAND FOX
85392;1.95;3.9;BABERO MINT
94013;27.95;55.9;INTERSTAR RINGS 48 PCS
94039;30.95;61.9;INTERSTAR BLOCKS 100 PCS
94043;22.45;44.9;PEGY BRICKS 100 PCS
94050;24.95;49.9;STACKING CASTLE  FSC 100%
94051;14.95;29.9;TOWERING BEADS FSC 100%
94052;19.95;39.9;ECO:PIEDRAS APILABLES FSC 100%
94060;14.95;29.9;SET ALIMENTACIO MADERA FSC100%
94061;14.95;29.9;SET HIGIENE MADERA  FSC 100%
94062;17.95;35.9;SET TE MADERA MUÑECOS FSC100%
94063;17.95;35.9;SET MEDICO MADERA FSC 100%
94064;17.95;35.9;SET BELLEZA MADERA FSC 100%
94105;34.9;69.8;MAGNETICS 36 PCS
94116;19.45;38.9;MARBLE RUN 60 PCS.
94120;21.45;42.9;PENTAGRAM BOARD & NOTES
95002;44.0;88.0;JUNIOR ENGINEER 79 PCS
95003;44.0;88.0;JUNIOR ENGINEER GEARS 62 PCS
95007;4.95;9.9;MAGNETIC TANGRAM
95008;2.95;5.9;MAGNETIC TAPE
95010;2.95;5.9;LAMINA A4 MAGN. ADH,
95020;9.95;19.9;MOSAIC ART 3D
95022;11.45;22.9;SUPERPEGS 128 PCS. BRIGHT C.
95023;6.95;13.9;SUPERPEGS 6 LAMINAS
95024;10.45;20.9;SUPERPEGS 2 PLACAS
95030;17.45;34.9;BALANZA NUMERICA
95031;39.95;79.9;BALANZA SOLIDOS Y LIQUIDOS
95032;15.95;31.9;PESAS PLASTICO
95040;17.45;34.9;Shape makers
95042;19.95;39.9;ACTIVITY LOGICAL BLOCKS
95050;30.95;61.9;ACTIVITY BASE 10
95053;22.95;45.9;ACTIVITY ABACUS MULTIBASE
95061;18.45;36.9;SET 6 GEOPLANOS 15 CM COLOR
95063;28.45;56.9;SET 6 GEOPLANOS 23 CM TRANS
95064;24.95;49.9;ACTIVITY REGLETAS
95072;19.95;39.9;SUPERPEGS 240 PCS. PRIMARY C.
95076;5.45;10.9;SUPERPEGS PACK 12MOD PRIMARY C
95080;14.95;29.9;SUPERPEGS 64 PCS. PRIMARY C.
95084;11.45;22.9;PVP 14,95 ABACO SOROBAN
95100;29.95;59.9;A4 LIGHTPAD
95101;39.95;79.9;A3 LIGHTPAD
95102;89.0;178.0;A2 LIGHTPAD
95151;9.95;12.870324999999998;ACTIVITY BASE 10 ESTUCHE
95165;7.45;7.215325000000001;ACTIVITY REGLETAS  BOTE
95203;20.95;41.9;ACTIVITY CUBES
95210;10.95;21.9;CUBOS 2 CM 100 PCS
95211;23.95;47.9;CUBOS 1 CM 1000 PCS
95213;7.45;14.9;JARRAS DE MEDIDA
95218;11.45;22.9;SET FRACCIONES
95219;17.45;34.9;SET 5 PENTOMINOS
95229;2.4;4.8;SET PASTA BLANDA 14 CM
95238;29.95;59.9;SET VOLUMEN 15 PCS
95251;5.95;11.9;SET PASTA BLANDA 22CM
95268;6.45;12.9;SET NÚMEROS PARA COSER 40 PCS
95270;8.95;17.9;ABACOLOR SHAPES 100 PCS
95277;7.45;14.9;SET 4 ABACOS  3 VASTAGOS
96285;12.45;24.9;GIANTTE  MOOGY
96317;14.95;29.9;ABROCHES DIVERSITY EUROPEO
96318;14.95;29.9;ABROCHES DIVERSITY AFRICANA
96319;14.95;29.9;ABROCHES DIVERSITY ASIATICA
96320;14.95;29.9;ABROCHES DIVERSITY LATINOAMERI
97003;27.45;54.9;BRICO KIT
97006;12.45;24.9;MINI BEAUTY
97012;12.45;24.9;Set médico
97020;19.95;39.9;DOLL STROLLER
97030;18.45;36.9;DICTATE & SHAPE
97096;8.95;17.9;MINIMOBIL TRAFFIC BOX
97098;9.95;19.9;FOREST & JUNGLE  BOX
97099;14.95;29.9;MARKET BOX
97211;8.95;17.9;GIANTTE
97217;19.95;39.9;ANIMATCH 31 PCS
97272;16.45;32.9;ACTIROLLER
97282;17.95;35.9;TOBOGGAN BALL
97285;7.45;14.9;BABY RAIN ROLLER
97290;4.95;9.9;MOLDES CEDAZOS ANIMALITOS 6UDS
97311;8.45;16.9;FIRST SENSES: CUPS
97313;11.45;22.9;FIRST SENSES: 6 CUBES SET
97314;19.95;39.9;SENSORY BALLS
97315;24.95;49.9;BIG SENSORY BALLS
97320;11.45;22.9;FTL:SET CUBOS SONAJERO BLANDIT
